rnk_txn	rnk_txd	phylum	color	phyla_class
Oscillochloridaceae	104174	Chloroflexi	#44C5DE	Chloroflexi
Demequinaceae	1042322	Actinobacteria	#D13AAF	Actinobacteria
Chromatiaceae	1046	Proteobacteria	#8D08E1	Gammaproteobacteria
Sandaracinaceae	1055686	Proteobacteria	#8D08E1	Deltaproteobacteria
Chthonomonadaceae	1077264	Armatimonadetes	#89E554	Armatimonadetes
Thioalkalispiraceae	1096778	Proteobacteria	#8D08E1	Gammaproteobacteria
Brevinemataceae	1100104	Spirochaetes	#7D1532	Spirochaetes
Chloroflexaceae	1106	Chloroflexi	#44C5DE	Chloroflexi
Leptotrichiaceae	1129771	Fusobacteria	#E32E16	Fusobacteria
Nostocaceae	1162	Cyanobacteria	#3F8FF9	Cyanobacteria
Desulfurellaceae	117942	Proteobacteria	#8D08E1	Deltaproteobacteria
Scytonemataceae	1182	Cyanobacteria	#3F8FF9	Cyanobacteria
Rivulariaceae	1185	Cyanobacteria	#3F8FF9	Cyanobacteria
Defluviitaleaceae	1185407	Firmicutes	#1D44F0	Firmicutes
Brucellaceae	118882	Proteobacteria	#8D08E1	Alphaproteobacteria
Coxiellaceae	118968	Proteobacteria	#8D08E1	Gammaproteobacteria
Rhodobiaceae	119043	Proteobacteria	#8D08E1	Alphaproteobacteria
Methylobacteriaceae	119045	Proteobacteria	#8D08E1	Alphaproteobacteria
Burkholderiaceae	119060	Proteobacteria	#8D08E1	Betaproteobacteria
Magnetococcaceae	1191479	Proteobacteria	#8D08E1	Alphaproteobacteria
Tolypothrichaceae	119859	Cyanobacteria	#3F8FF9	Cyanobacteria
Dehalococcoidaceae	1202464	Chloroflexi	#44C5DE	Chloroflexi
Jiangellaceae	1217100	Actinobacteria	#D13AAF	Actinobacteria
Orbaceae	1240483	Proteobacteria	#8D08E1	Gammaproteobacteria
Beutenbergiaceae	125316	Actinobacteria	#D13AAF	Actinobacteria
Planctomycetaceae	126	Planctomycetes	#77CBF7	Planctomycetes
Micrococcaceae	1268	Actinobacteria	#D13AAF	Actinobacteria
Erysipelotrichaceae	128827	Firmicutes	#1D44F0	Firmicutes
Streptococcaceae	1300	Firmicutes	#1D44F0	Firmicutes
Ruaniaceae	1331736	Actinobacteria	#D13AAF	Actinobacteria
Kordiimonadaceae	1331809	Proteobacteria	#8D08E1	Alphaproteobacteria
Schleiferiaceae	1333713	Bacteroidetes	#098A66	Bacteroidetes
Melioribacteraceae	1334117	Ignavibacteriae	#DA5E81	Ignavibacteriae
Verrucomicrobia_subdivision_3	134621	Verrucomicrobia	#3AAC82	Verrucomicrobia
Opitutaceae	134623	Verrucomicrobia	#3AAC82	Verrucomicrobia
Piscirickettsiaceae	135616	Proteobacteria	#8D08E1	Gammaproteobacteria
Thiotrichaceae	135617	Proteobacteria	#8D08E1	Gammaproteobacteria
Oceanospirillaceae	135620	Proteobacteria	#8D08E1	Gammaproteobacteria
Pseudomonadaceae	135621	Proteobacteria	#8D08E1	Gammaproteobacteria
Spirochaetaceae	137	Spirochaetes	#7D1532	Spirochaetes
Ardenticatenaceae	1382930	Chloroflexi	#44C5DE	Chloroflexi
Motilibacteraceae	1433378	Actinobacteria	#D13AAF	Actinobacteria
Brachyspiraceae	143786	Spirochaetes	#7D1532	Spirochaetes
Ferrovaceae	1442156	Proteobacteria	#8D08E1	Betaproteobacteria
Dermacoccaceae	145357	Actinobacteria	#D13AAF	Actinobacteria
Bogoriellaceae	145358	Actinobacteria	#D13AAF	Actinobacteria
Rarobacteraceae	145359	Actinobacteria	#D13AAF	Actinobacteria
Sanguibacteraceae	145360	Actinobacteria	#D13AAF	Actinobacteria
Prolixibacteraceae	1471398	Bacteroidetes	#098A66	Bacteroidetes
Proteinivoraceae	1491775	Firmicutes	#1D44F0	Firmicutes
Thermoflexaceae	1495648	Chloroflexi	#44C5DE	Chloroflexi
Chromobacteriaceae	1499392	Proteobacteria	#8D08E1	Betaproteobacteria
Amoebophilaceae	1501348	Bacteroidetes	#098A66	Bacteroidetes
Chitinivibrionaceae	1505234	Fibrobacteres	#0D9293	Fibrobacteres
Roseiflexaceae	1508635	Chloroflexi	#44C5DE	Chloroflexi
Vulgatibacteraceae	1524213	Proteobacteria	#8D08E1	Deltaproteobacteria
Anaeromyxobacteraceae	1524215	Proteobacteria	#8D08E1	Deltaproteobacteria
